title
test data for t3
nnode, nelem
    32     38
node,coordinate
     1                0               0 
     2                0             0.5 
     3              0.5               0 
     4             0.75         0.55833 
     5                0               1 
     6                1               0 
     7              0.5               1 
     8             1.25         0.44167 
     9                1               1 
    10              1.5               0 
    11              1.5               1 
    12             1.75         0.55833 
    13                2               0 
    14                2               1 
    15             2.25         0.44167 
    16              2.5               0 
    17              2.5               1 
    18             2.75         0.55833 
    19                3               0 
    20                3               1 
    21             3.25         0.44167 
    22              3.5               0 
    23              3.5               1 
    24             3.75         0.55833 
    25                4               0 
    26                4               1 
    27             4.25         0.44167 
    28              4.5               0 
    29              4.5               1 
    30                5               0 
    31                5             0.5 
    32                5               1 
element
     1      1     3     2
     2     25    28    27
     3     20    17    18
     4     13    16    15
     5      9     7     4
     6     32    29    31
     7     14    11    12
     8      6    10     8
     9     30    31    28
    10     19    22    21
    11     26    23    24
    12      5     2     7
    13     17    14    15
    14      3     6     4
    15     16    19    18
    16     29    26    27
    17     10    13    12
    18     11     9     8
    19     22    25    24
    20     23    20    21
    21     15    16    18
    22     12    11     8
    23     27    28    31
    24     21    22    24
    25      8    10    12
    26     18    17    15
    27      4     7     2
    28     24    23    21
    29     25    27    24
    30     19    21    18
    31     13    15    12
    32     14    12    15
    33     20    18    21
    34     26    24    27
    35      6     8     4
    36      9     4     8
    37     29    27    31
    38      3     4     2
material
 2100 0.3
boundary
       1 1 1  0.000000 0.000000 
       2 1 0  0.000000 0.000000 
       5 1 0  0.000000 0.000000 
traction
     2
    31    32 1 0
    30    31 1 0
end
